,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,GURDASPUR,Total,Total,2298323.0,1212617.0,1085706.0,625778.0,548676.0,77102.0,131360.0,88976.0,42384.0,71147.0,51897.0,19250.0,1541185.0,574965.0,966220.0,178291.0,72585.0,105706.0
1,GURDASPUR,Total,Illiterate,663604.0,304957.0,358647.0,116997.0,97480.0,19517.0,33578.0,20188.0,13390.0,16374.0,11078.0,5296.0,513029.0,187289.0,325740.0,24880.0,5844.0,19036.0
2,GURDASPUR,Total,Literate,1634719.0,907660.0,727059.0,508781.0,451196.0,57585.0,97782.0,68788.0,28994.0,54773.0,40819.0,13954.0,1028156.0,387676.0,640480.0,153411.0,66741.0,86670.0
3,GURDASPUR,Total,Literate but below matric/secondary,787594.0,425250.0,362344.0,170091.0,153565.0,16526.0,45002.0,32225.0,12777.0,24293.0,18867.0,5426.0,572501.0,239460.0,333041.0,48214.0,20729.0,27485.0
4,GURDASPUR,Total,Matric/secondary but below graduate,648455.0,380207.0,268248.0,254329.0,234073.0,20256.0,41904.0,30391.0,11513.0,24321.0,18457.0,5864.0,352222.0,115743.0,236479.0,77601.0,35726.0,41875.0
5,GURDASPUR,Total,Technical diploma or certificate not equal to degree,24398.0,14395.0,10003.0,9212.0,6843.0,2369.0,1231.0,752.0,479.0,832.0,542.0,290.0,13955.0,6800.0,7155.0,4621.0,2555.0,2066.0
6,GURDASPUR,Total,Graduate and above other than technical degree,93241.0,46516.0,46725.0,44520.0,33843.0,10677.0,4079.0,2026.0,2053.0,2258.0,1034.0,1224.0,44642.0,10647.0,33995.0,12608.0,3520.0,9088.0
7,GURDASPUR,Total,Technical degree or diploma equal to degree or post-graduate degree,31922.0,15439.0,16483.0,14111.0,8820.0,5291.0,1516.0,674.0,842.0,983.0,426.0,557.0,16295.0,5945.0,10350.0,6073.0,2405.0,3668.0
8,GURDASPUR,Rural,Total,1639004.0,855784.0,783220.0,423761.0,373416.0,50345.0,103491.0,70033.0,33458.0,57012.0,41740.0,15272.0,1111752.0,412335.0,699417.0,126966.0,50645.0,76321.0
9,GURDASPUR,Rural,Illiterate,522467.0,238932.0,283535.0,96391.0,80731.0,15660.0,28452.0,16948.0,11504.0,14078.0,9472.0,4606.0,397624.0,141253.0,256371.0,19996.0,4379.0,15617.0
10,GURDASPUR,Rural,Literate,1116537.0,616852.0,499685.0,327370.0,292685.0,34685.0,75039.0,53085.0,21954.0,42934.0,32268.0,10666.0,714128.0,271082.0,443046.0,106970.0,46266.0,60704.0
11,GURDASPUR,Rural,Literate but below matric/secondary,587432.0,314870.0,272562.0,125141.0,112653.0,12488.0,35910.0,25540.0,10370.0,19651.0,15201.0,4450.0,426381.0,176677.0,249704.0,36880.0,15293.0,21587.0
12,GURDASPUR,Rural,Matric/secondary but below graduate,433710.0,253277.0,180433.0,165301.0,151850.0,13451.0,32537.0,23708.0,8829.0,19393.0,14806.0,4587.0,235872.0,77719.0,158153.0,55363.0,25496.0,29867.0
13,GURDASPUR,Rural,Technical diploma or certificate not equal to degree,13228.0,7617.0,5611.0,4541.0,3323.0,1218.0,773.0,473.0,300.0,559.0,360.0,199.0,7914.0,3821.0,4093.0,2936.0,1530.0,1406.0
14,GURDASPUR,Rural,Graduate and above other than technical degree,34869.0,16786.0,18083.0,15906.0,11810.0,4096.0,1958.0,938.0,1020.0,1217.0,528.0,689.0,17005.0,4038.0,12967.0,5850.0,1584.0,4266.0
15,GURDASPUR,Rural,Technical degree or diploma equal to degree or post-graduate degree,12569.0,5917.0,6652.0,5094.0,3272.0,1822.0,696.0,299.0,397.0,487.0,201.0,286.0,6779.0,2346.0,4433.0,2871.0,1078.0,1793.0
16,GURDASPUR,Urban,Total,659319.0,356833.0,302486.0,202017.0,175260.0,26757.0,27869.0,18943.0,8926.0,14135.0,10157.0,3978.0,429433.0,162630.0,266803.0,51325.0,21940.0,29385.0
17,GURDASPUR,Urban,Illiterate,141137.0,66025.0,75112.0,20606.0,16749.0,3857.0,5126.0,3240.0,1886.0,2296.0,1606.0,690.0,115405.0,46036.0,69369.0,4884.0,1465.0,3419.0
18,GURDASPUR,Urban,Literate,518182.0,290808.0,227374.0,181411.0,158511.0,22900.0,22743.0,15703.0,7040.0,11839.0,8551.0,3288.0,314028.0,116594.0,197434.0,46441.0,20475.0,25966.0
19,GURDASPUR,Urban,Literate but below matric/secondary,200162.0,110380.0,89782.0,44950.0,40912.0,4038.0,9092.0,6685.0,2407.0,4642.0,3666.0,976.0,146120.0,62783.0,83337.0,11334.0,5436.0,5898.0
20,GURDASPUR,Urban,Matric/secondary but below graduate,214745.0,126930.0,87815.0,89028.0,82223.0,6805.0,9367.0,6683.0,2684.0,4928.0,3651.0,1277.0,116350.0,38024.0,78326.0,22238.0,10230.0,12008.0
21,GURDASPUR,Urban,Technical diploma or certificate not equal to degree,11170.0,6778.0,4392.0,4671.0,3520.0,1151.0,458.0,279.0,179.0,273.0,182.0,91.0,6041.0,2979.0,3062.0,1685.0,1025.0,660.0
22,GURDASPUR,Urban,Graduate and above other than technical degree,58372.0,29730.0,28642.0,28614.0,22033.0,6581.0,2121.0,1088.0,1033.0,1041.0,506.0,535.0,27637.0,6609.0,21028.0,6758.0,1936.0,4822.0
23,GURDASPUR,Urban,Technical degree or diploma equal to degree or post-graduate degree,19353.0,9522.0,9831.0,9017.0,5548.0,3469.0,820.0,375.0,445.0,496.0,225.0,271.0,9516.0,3599.0,5917.0,3202.0,1327.0,1875.0
24,KAPURTHALA ,Total,Total,815168.0,426311.0,388857.0,248208.0,213028.0,35180.0,35957.0,22534.0,13423.0,17254.0,11969.0,5285.0,531003.0,190749.0,340254.0,37527.0,15223.0,22304.0
25,KAPURTHALA ,Total,Illiterate,238601.0,110057.0,128544.0,51293.0,41019.0,10274.0,10553.0,5607.0,4946.0,5216.0,3165.0,2051.0,176755.0,63431.0,113324.0,5448.0,1314.0,4134.0
26,KAPURTHALA ,Total,Literate,576567.0,316254.0,260313.0,196915.0,172009.0,24906.0,25404.0,16927.0,8477.0,12038.0,8804.0,3234.0,354248.0,127318.0,226930.0,32079.0,13909.0,18170.0
27,KAPURTHALA ,Total,Literate but below matric/secondary,296057.0,164857.0,131200.0,79884.0,71712.0,8172.0,13282.0,9235.0,4047.0,6254.0,4852.0,1402.0,202891.0,83910.0,118981.0,10814.0,4980.0,5834.0
28,KAPURTHALA ,Total,Matric/secondary but below graduate,202846.0,111920.0,90926.0,81024.0,73101.0,7923.0,8834.0,5905.0,2929.0,4329.0,3155.0,1174.0,112988.0,32914.0,80074.0,14917.0,6682.0,8235.0
29,KAPURTHALA ,Total,Technical diploma or certificate not equal to degree,9132.0,6626.0,2506.0,5155.0,4429.0,726.0,302.0,195.0,107.0,143.0,93.0,50.0,3675.0,2002.0,1673.0,716.0,462.0,254.0
30,KAPURTHALA ,Total,Graduate and above other than technical degree,39778.0,18563.0,21215.0,18893.0,13965.0,4928.0,1423.0,668.0,755.0,635.0,274.0,361.0,19462.0,3930.0,15532.0,3436.0,887.0,2549.0
31,KAPURTHALA ,Total,Technical degree or diploma equal to degree or post-graduate degree,9652.0,4567.0,5085.0,4690.0,2823.0,1867.0,366.0,156.0,210.0,178.0,62.0,116.0,4596.0,1588.0,3008.0,1133.0,433.0,700.0
32,KAPURTHALA ,Rural,Total,532706.0,275932.0,256774.0,155809.0,134906.0,20903.0,25235.0,16436.0,8799.0,13075.0,9585.0,3490.0,351662.0,124590.0,227072.0,22825.0,9191.0,13634.0
33,KAPURTHALA ,Rural,Illiterate,171930.0,79013.0,92917.0,38372.0,30885.0,7487.0,8115.0,4423.0,3692.0,4208.0,2644.0,1564.0,125443.0,43705.0,81738.0,3825.0,838.0,2987.0
34,KAPURTHALA ,Rural,Literate,360776.0,196919.0,163857.0,117437.0,104021.0,13416.0,17120.0,12013.0,5107.0,8867.0,6941.0,1926.0,226219.0,80885.0,145334.0,19000.0,8353.0,10647.0
35,KAPURTHALA ,Rural,Literate but below matric/secondary,207918.0,115780.0,92138.0,57242.0,51327.0,5915.0,9905.0,7110.0,2795.0,5052.0,4045.0,1007.0,140771.0,57343.0,83428.0,7542.0,3433.0,4109.0
36,KAPURTHALA ,Rural,Matric/secondary but below graduate,121355.0,65535.0,55820.0,47002.0,42407.0,4595.0,5734.0,4011.0,1723.0,3089.0,2418.0,671.0,68619.0,19117.0,49502.0,8829.0,3951.0,4878.0
37,KAPURTHALA ,Rural,Technical diploma or certificate not equal to degree,3127.0,2101.0,1026.0,1504.0,1240.0,264.0,127.0,77.0,50.0,67.0,41.0,26.0,1496.0,784.0,712.0,299.0,171.0,128.0
38,KAPURTHALA ,Rural,Graduate and above other than technical degree,13552.0,6140.0,7412.0,6048.0,4580.0,1468.0,458.0,233.0,225.0,239.0,130.0,109.0,7046.0,1327.0,5719.0,1325.0,351.0,974.0
39,KAPURTHALA ,Rural,Technical degree or diploma equal to degree or post-graduate degree,2752.0,1245.0,1507.0,1214.0,757.0,457.0,86.0,42.0,44.0,43.0,15.0,28.0,1452.0,446.0,1006.0,361.0,126.0,235.0
40,KAPURTHALA ,Urban,Total,282462.0,150379.0,132083.0,92399.0,78122.0,14277.0,10722.0,6098.0,4624.0,4179.0,2384.0,1795.0,179341.0,66159.0,113182.0,14702.0,6032.0,8670.0
41,KAPURTHALA ,Urban,Illiterate,66671.0,31044.0,35627.0,12921.0,10134.0,2787.0,2438.0,1184.0,1254.0,1008.0,521.0,487.0,51312.0,19726.0,31586.0,1623.0,476.0,1147.0
42,KAPURTHALA ,Urban,Literate,215791.0,119335.0,96456.0,79478.0,67988.0,11490.0,8284.0,4914.0,3370.0,3171.0,1863.0,1308.0,128029.0,46433.0,81596.0,13079.0,5556.0,7523.0
43,KAPURTHALA ,Urban,Literate but below matric/secondary,88139.0,49077.0,39062.0,22642.0,20385.0,2257.0,3377.0,2125.0,1252.0,1202.0,807.0,395.0,62120.0,26567.0,35553.0,3272.0,1547.0,1725.0
44,KAPURTHALA ,Urban,Matric/secondary but below graduate,81491.0,46385.0,35106.0,34022.0,30694.0,3328.0,3100.0,1894.0,1206.0,1240.0,737.0,503.0,44369.0,13797.0,30572.0,6088.0,2731.0,3357.0
45,KAPURTHALA ,Urban,Technical diploma or certificate not equal to degree,6005.0,4525.0,1480.0,3651.0,3189.0,462.0,175.0,118.0,57.0,76.0,52.0,24.0,2179.0,1218.0,961.0,417.0,291.0,126.0
46,KAPURTHALA ,Urban,Graduate and above other than technical degree,26226.0,12423.0,13803.0,12845.0,9385.0,3460.0,965.0,435.0,530.0,396.0,144.0,252.0,12416.0,2603.0,9813.0,2111.0,536.0,1575.0
47,KAPURTHALA ,Urban,Technical degree or diploma equal to degree or post-graduate degree,6900.0,3322.0,3578.0,3476.0,2066.0,1410.0,280.0,114.0,166.0,135.0,47.0,88.0,3144.0,1142.0,2002.0,772.0,307.0,465.0
48,JALANDHAR,Total,Total,2193590.0,1145211.0,1048379.0,689592.0,586721.0,102871.0,84880.0,52763.0,32117.0,36119.0,24562.0,11557.0,1419118.0,505727.0,913391.0,110433.0,44303.0,66130.0
49,JALANDHAR,Total,Illiterate,571053.0,262630.0,308423.0,115420.0,90392.0,25028.0,19611.0,10007.0,9604.0,7864.0,4551.0,3313.0,436022.0,162231.0,273791.0,13352.0,3439.0,9913.0
50,JALANDHAR,Total,Literate,1622537.0,882581.0,739956.0,574172.0,496329.0,77843.0,65269.0,42756.0,22513.0,28255.0,20011.0,8244.0,983096.0,343496.0,639600.0,97081.0,40864.0,56217.0
51,JALANDHAR,Total,Literate but below matric/secondary,788258.0,437851.0,350407.0,221086.0,197388.0,23698.0,32566.0,22363.0,10203.0,14421.0,10848.0,3573.0,534606.0,218100.0,316506.0,34160.0,15479.0,18681.0
52,JALANDHAR,Total,Matric/secondary but below graduate,573811.0,314823.0,258988.0,231581.0,207827.0,23754.0,22617.0,14854.0,7763.0,9977.0,6997.0,2980.0,319613.0,92142.0,227471.0,43942.0,18892.0,25050.0
53,JALANDHAR,Total,Technical diploma or certificate not equal to degree,16230.0,9625.0,6605.0,6985.0,5190.0,1795.0,603.0,373.0,230.0,290.0,186.0,104.0,8642.0,4062.0,4580.0,1651.0,911.0,740.0
54,JALANDHAR,Total,Graduate and above other than technical degree,159536.0,77673.0,81863.0,77981.0,59253.0,18728.0,5303.0,2740.0,2563.0,1962.0,972.0,990.0,76252.0,15680.0,60572.0,11302.0,3106.0,8196.0
55,JALANDHAR,Total,Technical degree or diploma equal to degree or post-graduate degree,32683.0,15585.0,17098.0,16044.0,9431.0,6613.0,1213.0,567.0,646.0,485.0,221.0,264.0,15426.0,5587.0,9839.0,3318.0,1385.0,1933.0
56,JALANDHAR,Rural,Total,1032419.0,528790.0,503629.0,303843.0,262667.0,41176.0,46199.0,28981.0,17218.0,22042.0,15378.0,6664.0,682377.0,237142.0,445235.0,54706.0,21002.0,33704.0
57,JALANDHAR,Rural,Illiterate,304285.0,135923.0,168362.0,63170.0,49798.0,13372.0,12733.0,6292.0,6441.0,5467.0,3105.0,2362.0,228382.0,79833.0,148549.0,7569.0,1657.0,5912.0
58,JALANDHAR,Rural,Literate,728134.0,392867.0,335267.0,240673.0,212869.0,27804.0,33466.0,22689.0,10777.0,16575.0,12273.0,4302.0,453995.0,157309.0,296686.0,47137.0,19345.0,27792.0
59,JALANDHAR,Rural,Literate but below matric/secondary,420548.0,232252.0,188296.0,119675.0,107392.0,12283.0,19771.0,13822.0,5949.0,9839.0,7509.0,2330.0,281102.0,111038.0,170064.0,19902.0,8598.0,11304.0
60,JALANDHAR,Rural,Matric/secondary but below graduate,245939.0,130541.0,115398.0,95400.0,85668.0,9732.0,10984.0,7306.0,3678.0,5409.0,3928.0,1481.0,139555.0,37567.0,101988.0,21358.0,8764.0,12594.0
61,JALANDHAR,Rural,Technical diploma or certificate not equal to degree,4627.0,2735.0,1892.0,1790.0,1305.0,485.0,165.0,103.0,62.0,92.0,64.0,28.0,2672.0,1327.0,1345.0,601.0,352.0,249.0
62,JALANDHAR,Rural,Graduate and above other than technical degree,29749.0,13795.0,15954.0,13403.0,10206.0,3197.0,973.0,481.0,492.0,466.0,236.0,230.0,15373.0,3108.0,12265.0,3218.0,852.0,2366.0
63,JALANDHAR,Rural,Technical degree or diploma equal to degree or post-graduate degree,5189.0,2283.0,2906.0,2276.0,1285.0,991.0,163.0,74.0,89.0,92.0,40.0,52.0,2750.0,924.0,1826.0,795.0,310.0,485.0
64,JALANDHAR,Urban,Total,1161171.0,616421.0,544750.0,385749.0,324054.0,61695.0,38681.0,23782.0,14899.0,14077.0,9184.0,4893.0,736741.0,268585.0,468156.0,55727.0,23301.0,32426.0
65,JALANDHAR,Urban,Illiterate,266768.0,126707.0,140061.0,52250.0,40594.0,11656.0,6878.0,3715.0,3163.0,2397.0,1446.0,951.0,207640.0,82398.0,125242.0,5783.0,1782.0,4001.0
66,JALANDHAR,Urban,Literate,894403.0,489714.0,404689.0,333499.0,283460.0,50039.0,31803.0,20067.0,11736.0,11680.0,7738.0,3942.0,529101.0,186187.0,342914.0,49944.0,21519.0,28425.0
67,JALANDHAR,Urban,Literate but below matric/secondary,367710.0,205599.0,162111.0,101411.0,89996.0,11415.0,12795.0,8541.0,4254.0,4582.0,3339.0,1243.0,253504.0,107062.0,146442.0,14258.0,6881.0,7377.0
68,JALANDHAR,Urban,Matric/secondary but below graduate,327872.0,184282.0,143590.0,136181.0,122159.0,14022.0,11633.0,7548.0,4085.0,4568.0,3069.0,1499.0,180058.0,54575.0,125483.0,22584.0,10128.0,12456.0
69,JALANDHAR,Urban,Technical diploma or certificate not equal to degree,11603.0,6890.0,4713.0,5195.0,3885.0,1310.0,438.0,270.0,168.0,198.0,122.0,76.0,5970.0,2735.0,3235.0,1050.0,559.0,491.0
70,JALANDHAR,Urban,Graduate and above other than technical degree,129787.0,63878.0,65909.0,64578.0,49047.0,15531.0,4330.0,2259.0,2071.0,1496.0,736.0,760.0,60879.0,12572.0,48307.0,8084.0,2254.0,5830.0
71,JALANDHAR,Urban,Technical degree or diploma equal to degree or post-graduate degree,27494.0,13302.0,14192.0,13768.0,8146.0,5622.0,1050.0,493.0,557.0,393.0,181.0,212.0,12676.0,4663.0,8013.0,2523.0,1075.0,1448.0
72,HOSHIARPUR,Total,Total,1586625.0,809057.0,777568.0,411011.0,352281.0,58730.0,88811.0,60225.0,28586.0,45721.0,34419.0,11302.0,1086803.0,396551.0,690252.0,103189.0,42314.0,60875.0
73,HOSHIARPUR,Total,Illiterate,386926.0,171130.0,215796.0,55627.0,42124.0,13503.0,16821.0,9264.0,7557.0,7494.0,4672.0,2822.0,314478.0,119742.0,194736.0,8311.0,2115.0,6196.0
74,HOSHIARPUR,Total,Literate,1199699.0,637927.0,561772.0,355384.0,310157.0,45227.0,71990.0,50961.0,21029.0,38227.0,29747.0,8480.0,772325.0,276809.0,495516.0,94878.0,40199.0,54679.0
75,HOSHIARPUR,Total,Literate but below matric/secondary,609663.0,324547.0,285116.0,139153.0,124581.0,14572.0,37731.0,27196.0,10535.0,19888.0,15972.0,3916.0,432779.0,172770.0,260009.0,30914.0,13497.0,17417.0
76,HOSHIARPUR,Total,Matric/secondary but below graduate,443565.0,239896.0,203669.0,155190.0,140487.0,14703.0,27022.0,19533.0,7489.0,14583.0,11530.0,3053.0,261353.0,79876.0,181477.0,45648.0,20047.0,25601.0
77,HOSHIARPUR,Total,Technical diploma or certificate not equal to degree,19974.0,12946.0,7028.0,7692.0,5912.0,1780.0,927.0,643.0,284.0,558.0,408.0,150.0,11355.0,6391.0,4964.0,3242.0,2082.0,1160.0
78,HOSHIARPUR,Total,Graduate and above other than technical degree,75455.0,35614.0,39841.0,33838.0,24952.0,8886.0,3106.0,1617.0,1489.0,1618.0,799.0,819.0,38511.0,9045.0,29466.0,9744.0,2503.0,7241.0
79,HOSHIARPUR,Total,Technical degree or diploma equal to degree or post-graduate degree,20993.0,10363.0,10630.0,9956.0,6184.0,3772.0,850.0,426.0,424.0,496.0,241.0,255.0,10187.0,3753.0,6434.0,3278.0,1235.0,2043.0
80,HOSHIARPUR,Rural,Total,1251656.0,634470.0,617186.0,311079.0,269556.0,41523.0,74087.0,50407.0,23680.0,38913.0,29754.0,9159.0,866490.0,314507.0,551983.0,80857.0,32915.0,47942.0
81,HOSHIARPUR,Rural,Illiterate,315821.0,137838.0,177983.0,44282.0,33490.0,10792.0,14341.0,7748.0,6593.0,6507.0,4031.0,2476.0,257198.0,96600.0,160598.0,6546.0,1563.0,4983.0
82,HOSHIARPUR,Rural,Literate,935835.0,496632.0,439203.0,266797.0,236066.0,30731.0,59746.0,42659.0,17087.0,32406.0,25723.0,6683.0,609292.0,217907.0,391385.0,74311.0,31352.0,42959.0
83,HOSHIARPUR,Rural,Literate but below matric/secondary,502759.0,266706.0,236053.0,113781.0,101998.0,11783.0,32521.0,23388.0,9133.0,17554.0,14163.0,3391.0,356457.0,141320.0,215137.0,25589.0,11064.0,14525.0
84,HOSHIARPUR,Rural,Matric/secondary but below graduate,346225.0,186879.0,159346.0,119679.0,108857.0,10822.0,22444.0,16372.0,6072.0,12299.0,9930.0,2369.0,204102.0,61650.0,142452.0,36631.0,15963.0,20668.0
85,HOSHIARPUR,Rural,Technical diploma or certificate not equal to degree,12550.0,8143.0,4407.0,4477.0,3450.0,1027.0,622.0,441.0,181.0,390.0,292.0,98.0,7451.0,4252.0,3199.0,2326.0,1460.0,866.0
86,HOSHIARPUR,Rural,Graduate and above other than technical degree,40404.0,18571.0,21833.0,17072.0,12715.0,4357.0,1756.0,937.0,819.0,976.0,518.0,458.0,21576.0,4919.0,16657.0,6233.0,1544.0,4689.0
87,HOSHIARPUR,Rural,Technical degree or diploma equal to degree or post-graduate degree,10360.0,5034.0,5326.0,4590.0,2932.0,1658.0,449.0,233.0,216.0,267.0,133.0,134.0,5321.0,1869.0,3452.0,1904.0,664.0,1240.0
88,HOSHIARPUR,Urban,Total,334969.0,174587.0,160382.0,99932.0,82725.0,17207.0,14724.0,9818.0,4906.0,6808.0,4665.0,2143.0,220313.0,82044.0,138269.0,22332.0,9399.0,12933.0
89,HOSHIARPUR,Urban,Illiterate,71105.0,33292.0,37813.0,11345.0,8634.0,2711.0,2480.0,1516.0,964.0,987.0,641.0,346.0,57280.0,23142.0,34138.0,1765.0,552.0,1213.0
90,HOSHIARPUR,Urban,Literate,263864.0,141295.0,122569.0,88587.0,74091.0,14496.0,12244.0,8302.0,3942.0,5821.0,4024.0,1797.0,163033.0,58902.0,104131.0,20567.0,8847.0,11720.0
91,HOSHIARPUR,Urban,Literate but below matric/secondary,106904.0,57841.0,49063.0,25372.0,22583.0,2789.0,5210.0,3808.0,1402.0,2334.0,1809.0,525.0,76322.0,31450.0,44872.0,5325.0,2433.0,2892.0
92,HOSHIARPUR,Urban,Matric/secondary but below graduate,97340.0,53017.0,44323.0,35511.0,31630.0,3881.0,4578.0,3161.0,1417.0,2284.0,1600.0,684.0,57251.0,18226.0,39025.0,9017.0,4084.0,4933.0
93,HOSHIARPUR,Urban,Technical diploma or certificate not equal to degree,7424.0,4803.0,2621.0,3215.0,2462.0,753.0,305.0,202.0,103.0,168.0,116.0,52.0,3904.0,2139.0,1765.0,916.0,622.0,294.0
94,HOSHIARPUR,Urban,Graduate and above other than technical degree,35051.0,17043.0,18008.0,16766.0,12237.0,4529.0,1350.0,680.0,670.0,642.0,281.0,361.0,16935.0,4126.0,12809.0,3511.0,959.0,2552.0
95,HOSHIARPUR,Urban,Technical degree or diploma equal to degree or post-graduate degree,10633.0,5329.0,5304.0,5366.0,3252.0,2114.0,401.0,193.0,208.0,229.0,108.0,121.0,4866.0,1884.0,2982.0,1374.0,571.0,803.0
96,SHAHID BHAGAT SINGH NAGAR ,Total,Total,612310.0,313291.0,299019.0,173507.0,150279.0,23228.0,30822.0,19973.0,10849.0,15493.0,11318.0,4175.0,407981.0,143039.0,264942.0,34694.0,13815.0,20879.0
97,SHAHID BHAGAT SINGH NAGAR ,Total,Illiterate,173851.0,74136.0,99715.0,29419.0,22765.0,6654.0,7350.0,3628.0,3722.0,3102.0,1897.0,1205.0,137082.0,47743.0,89339.0,4168.0,1004.0,3164.0
98,SHAHID BHAGAT SINGH NAGAR ,Total,Literate,438459.0,239155.0,199304.0,144088.0,127514.0,16574.0,23472.0,16345.0,7127.0,12391.0,9421.0,2970.0,270899.0,95296.0,175603.0,30526.0,12811.0,17715.0
99,SHAHID BHAGAT SINGH NAGAR ,Total,Literate but below matric/secondary,240222.0,132724.0,107498.0,65463.0,59276.0,6187.0,13082.0,9328.0,3754.0,6774.0,5389.0,1385.0,161677.0,64120.0,97557.0,11866.0,5257.0,6609.0
100,SHAHID BHAGAT SINGH NAGAR ,Total,Matric/secondary but below graduate,152640.0,83864.0,68776.0,59212.0,53620.0,5592.0,8198.0,5746.0,2452.0,4477.0,3324.0,1153.0,85230.0,24498.0,60732.0,14103.0,5946.0,8157.0
101,SHAHID BHAGAT SINGH NAGAR ,Total,Technical diploma or certificate not equal to degree,4166.0,2607.0,1559.0,1682.0,1277.0,405.0,204.0,143.0,61.0,107.0,80.0,27.0,2280.0,1187.0,1093.0,576.0,363.0,213.0
102,SHAHID BHAGAT SINGH NAGAR ,Total,Graduate and above other than technical degree,21252.0,10228.0,11024.0,10093.0,7596.0,2497.0,744.0,383.0,361.0,387.0,203.0,184.0,10415.0,2249.0,8166.0,2273.0,602.0,1671.0
103,SHAHID BHAGAT SINGH NAGAR ,Total,Technical degree or diploma equal to degree or post-graduate degree,5466.0,2587.0,2879.0,2701.0,1628.0,1073.0,181.0,61.0,120.0,96.0,30.0,66.0,2584.0,898.0,1686.0,699.0,253.0,446.0
104,SHAHID BHAGAT SINGH NAGAR ,Rural,Total,486894.0,248118.0,238776.0,135970.0,117962.0,18008.0,26805.0,17351.0,9454.0,13666.0,9986.0,3680.0,324119.0,112805.0,211314.0,27897.0,10870.0,17027.0
105,SHAHID BHAGAT SINGH NAGAR ,Rural,Illiterate,141299.0,59506.0,81793.0,23656.0,18130.0,5526.0,6396.0,3121.0,3275.0,2617.0,1605.0,1012.0,111247.0,38255.0,72992.0,3337.0,766.0,2571.0
106,SHAHID BHAGAT SINGH NAGAR ,Rural,Literate,345595.0,188612.0,156983.0,112314.0,99832.0,12482.0,20409.0,14230.0,6179.0,11049.0,8381.0,2668.0,212872.0,74550.0,138322.0,24560.0,10104.0,14456.0
107,SHAHID BHAGAT SINGH NAGAR ,Rural,Literate but below matric/secondary,196077.0,108324.0,87753.0,54008.0,48735.0,5273.0,11528.0,8182.0,3346.0,6093.0,4808.0,1285.0,130541.0,51407.0,79134.0,9825.0,4264.0,5561.0
108,SHAHID BHAGAT SINGH NAGAR ,Rural,Matric/secondary but below graduate,119272.0,65348.0,53924.0,46218.0,41773.0,4445.0,7116.0,4981.0,2135.0,3997.0,2960.0,1037.0,65938.0,18594.0,47344.0,11466.0,4705.0,6761.0
109,SHAHID BHAGAT SINGH NAGAR ,Rural,Technical diploma or certificate not equal to degree,2736.0,1740.0,996.0,1083.0,828.0,255.0,161.0,116.0,45.0,81.0,59.0,22.0,1492.0,796.0,696.0,420.0,262.0,158.0
110,SHAHID BHAGAT SINGH NAGAR ,Rural,Graduate and above other than technical degree,12269.0,5904.0,6365.0,5612.0,4277.0,1335.0,515.0,285.0,230.0,301.0,165.0,136.0,6142.0,1342.0,4800.0,1578.0,413.0,1165.0
