,Area name,Total/Rural/Urban,Education level,total person,total males,total females,person main worker,males main worker,females main worker,person marginal worker,males marginal worker,females marginal worker,person MAW,males MAW,females MAW,person non worker,males non worker,females non worker,person unemployed,males unemployed,females unemployed
0,GARHWA ,Total,Total,1322784.0,683575.0,639209.0,175126.0,135273.0,39853.0,396305.0,200178.0,196127.0,242129.0,143879.0,98250.0,751353.0,348124.0,403229.0,51463.0,21630.0,29833.0
1,GARHWA ,Total,Illiterate,669308.0,278414.0,390894.0,73233.0,44775.0,28458.0,223495.0,78889.0,144606.0,135018.0,58890.0,76128.0,372580.0,154750.0,217830.0,16013.0,2207.0,13806.0
2,GARHWA ,Total,Literate,653476.0,405161.0,248315.0,101893.0,90498.0,11395.0,172810.0,121289.0,51521.0,107111.0,84989.0,22122.0,378773.0,193374.0,185399.0,35450.0,19423.0,16027.0
3,GARHWA ,Total,Literate but below matric/secondary,477287.0,280953.0,196334.0,54076.0,47856.0,6220.0,117260.0,79333.0,37927.0,70120.0,54587.0,15533.0,305951.0,153764.0,152187.0,16330.0,7867.0,8463.0
4,GARHWA ,Total,Matric/secondary but below graduate,106922.0,75565.0,31357.0,24683.0,22303.0,2380.0,32441.0,25210.0,7231.0,22153.0,18591.0,3562.0,49798.0,28052.0,21746.0,13481.0,8340.0,5141.0
5,GARHWA ,Total,Technical diploma or certificate not equal to degree,662.0,598.0,64.0,238.0,215.0,23.0,74.0,70.0,4.0,48.0,48.0,0.0,350.0,313.0,37.0,154.0,144.0,10.0
6,GARHWA ,Total,Graduate and above other than technical degree,22818.0,18005.0,4813.0,11172.0,10037.0,1135.0,4591.0,3918.0,673.0,3137.0,2769.0,368.0,7055.0,4050.0,3005.0,3126.0,1947.0,1179.0
7,GARHWA ,Total,Technical degree or diploma equal to degree or post-graduate degree,1367.0,1127.0,240.0,687.0,605.0,82.0,111.0,94.0,17.0,70.0,61.0,9.0,569.0,428.0,141.0,277.0,204.0,73.0
8,GARHWA ,Rural,Total,1253114.0,646947.0,606167.0,162314.0,123629.0,38685.0,388165.0,194977.0,193188.0,236913.0,140202.0,96711.0,702635.0,328341.0,374294.0,44564.0,19030.0,25534.0
9,GARHWA ,Rural,Illiterate,645586.0,268495.0,377091.0,71103.0,43091.0,28012.0,220033.0,77371.0,142662.0,132945.0,57821.0,75124.0,354450.0,148033.0,206417.0,14870.0,2067.0,12803.0
10,GARHWA ,Rural,Literate,607528.0,378452.0,229076.0,91211.0,80538.0,10673.0,168132.0,117606.0,50526.0,103968.0,82381.0,21587.0,348185.0,180308.0,167877.0,29694.0,16963.0,12731.0
11,GARHWA ,Rural,Literate but below matric/secondary,452953.0,267862.0,185091.0,50868.0,44827.0,6041.0,114775.0,77482.0,37293.0,68464.0,53244.0,15220.0,287310.0,145553.0,141757.0,14618.0,7228.0,7390.0
12,GARHWA ,Rural,Matric/secondary but below graduate,94756.0,68162.0,26594.0,21394.0,19197.0,2197.0,31151.0,24126.0,7025.0,21234.0,17797.0,3437.0,42211.0,24839.0,17372.0,11091.0,7249.0,3842.0
13,GARHWA ,Rural,Technical diploma or certificate not equal to degree,508.0,460.0,48.0,180.0,160.0,20.0,68.0,64.0,4.0,46.0,46.0,0.0,260.0,236.0,24.0,112.0,106.0,6.0
14,GARHWA ,Rural,Graduate and above other than technical degree,17923.0,14502.0,3421.0,8609.0,7687.0,922.0,4214.0,3587.0,627.0,2899.0,2563.0,336.0,5100.0,3228.0,1872.0,2148.0,1507.0,641.0
15,GARHWA ,Rural,Technical degree or diploma equal to degree or post-graduate degree,912.0,758.0,154.0,443.0,392.0,51.0,98.0,81.0,17.0,64.0,55.0,9.0,371.0,285.0,86.0,177.0,132.0,45.0
16,GARHWA ,Urban,Total,69670.0,36628.0,33042.0,12812.0,11644.0,1168.0,8140.0,5201.0,2939.0,5216.0,3677.0,1539.0,48718.0,19783.0,28935.0,6899.0,2600.0,4299.0
17,GARHWA ,Urban,Illiterate,23722.0,9919.0,13803.0,2130.0,1684.0,446.0,3462.0,1518.0,1944.0,2073.0,1069.0,1004.0,18130.0,6717.0,11413.0,1143.0,140.0,1003.0
18,GARHWA ,Urban,Literate,45948.0,26709.0,19239.0,10682.0,9960.0,722.0,4678.0,3683.0,995.0,3143.0,2608.0,535.0,30588.0,13066.0,17522.0,5756.0,2460.0,3296.0
19,GARHWA ,Urban,Literate but below matric/secondary,24334.0,13091.0,11243.0,3208.0,3029.0,179.0,2485.0,1851.0,634.0,1656.0,1343.0,313.0,18641.0,8211.0,10430.0,1712.0,639.0,1073.0
20,GARHWA ,Urban,Matric/secondary but below graduate,12166.0,7403.0,4763.0,3289.0,3106.0,183.0,1290.0,1084.0,206.0,919.0,794.0,125.0,7587.0,3213.0,4374.0,2390.0,1091.0,1299.0
21,GARHWA ,Urban,Technical diploma or certificate not equal to degree,154.0,138.0,16.0,58.0,55.0,3.0,6.0,6.0,0.0,2.0,2.0,0.0,90.0,77.0,13.0,42.0,38.0,4.0
22,GARHWA ,Urban,Graduate and above other than technical degree,4895.0,3503.0,1392.0,2563.0,2350.0,213.0,377.0,331.0,46.0,238.0,206.0,32.0,1955.0,822.0,1133.0,978.0,440.0,538.0
23,GARHWA ,Urban,Technical degree or diploma equal to degree or post-graduate degree,455.0,369.0,86.0,244.0,213.0,31.0,13.0,13.0,0.0,6.0,6.0,0.0,198.0,143.0,55.0,100.0,72.0,28.0
24,CHATRA,Total,Total,1042886.0,533935.0,508951.0,195502.0,145553.0,49949.0,202188.0,105660.0,96528.0,117096.0,72052.0,45044.0,645196.0,282722.0,362474.0,39072.0,16471.0,22601.0
25,CHATRA,Total,Illiterate,532825.0,230033.0,302792.0,90051.0,55121.0,34930.0,118827.0,47631.0,71196.0,67415.0,32909.0,34506.0,323947.0,127281.0,196666.0,13173.0,2404.0,10769.0
26,CHATRA,Total,Literate,510061.0,303902.0,206159.0,105451.0,90432.0,15019.0,83361.0,58029.0,25332.0,49681.0,39143.0,10538.0,321249.0,155441.0,165808.0,25899.0,14067.0,11832.0
27,CHATRA,Total,Literate but below matric/secondary,366874.0,208498.0,158376.0,58994.0,50129.0,8865.0,54633.0,36951.0,17682.0,32192.0,24960.0,7232.0,253247.0,121418.0,131829.0,11418.0,5349.0,6069.0
28,CHATRA,Total,Matric/secondary but below graduate,84101.0,55393.0,28708.0,24085.0,20978.0,3107.0,14625.0,10902.0,3723.0,8881.0,7289.0,1592.0,45391.0,23513.0,21878.0,9917.0,5980.0,3937.0
29,CHATRA,Total,Technical diploma or certificate not equal to degree,318.0,288.0,30.0,104.0,98.0,6.0,16.0,16.0,0.0,9.0,9.0,0.0,198.0,174.0,24.0,86.0,81.0,5.0
30,CHATRA,Total,Graduate and above other than technical degree,18694.0,14522.0,4172.0,10365.0,9130.0,1235.0,2556.0,2154.0,402.0,1597.0,1434.0,163.0,5773.0,3238.0,2535.0,2321.0,1598.0,723.0
31,CHATRA,Total,Technical degree or diploma equal to degree or post-graduate degree,747.0,635.0,112.0,383.0,345.0,38.0,45.0,38.0,7.0,26.0,23.0,3.0,319.0,252.0,67.0,148.0,119.0,29.0
32,CHATRA,Rural,Total,979932.0,500211.0,479721.0,181064.0,132848.0,48216.0,198972.0,103175.0,95797.0,115558.0,70819.0,44739.0,599896.0,264188.0,335708.0,34627.0,14241.0,20386.0
33,CHATRA,Rural,Illiterate,513335.0,221466.0,291869.0,87342.0,53225.0,34117.0,117635.0,46900.0,70735.0,66845.0,32539.0,34306.0,308358.0,121341.0,187017.0,12624.0,2291.0,10333.0
34,CHATRA,Rural,Literate,466597.0,278745.0,187852.0,93722.0,79623.0,14099.0,81337.0,56275.0,25062.0,48713.0,38280.0,10433.0,291538.0,142847.0,148691.0,22003.0,11950.0,10053.0
35,CHATRA,Rural,Literate but below matric/secondary,344996.0,196935.0,148061.0,55265.0,46753.0,8512.0,53782.0,36219.0,17563.0,31812.0,24620.0,7192.0,235949.0,113963.0,121986.0,10464.0,4899.0,5565.0
36,CHATRA,Rural,Matric/secondary but below graduate,71602.0,48027.0,23575.0,20473.0,17594.0,2879.0,14054.0,10389.0,3665.0,8600.0,7036.0,1564.0,37075.0,20044.0,17031.0,8107.0,4998.0,3109.0
37,CHATRA,Rural,Technical diploma or certificate not equal to degree,176.0,159.0,17.0,46.0,42.0,4.0,13.0,13.0,0.0,7.0,7.0,0.0,117.0,104.0,13.0,48.0,45.0,3.0
38,CHATRA,Rural,Graduate and above other than technical degree,13764.0,10943.0,2821.0,7643.0,6619.0,1024.0,2286.0,1918.0,368.0,1456.0,1311.0,145.0,3835.0,2406.0,1429.0,1572.0,1147.0,425.0
39,CHATRA,Rural,Technical degree or diploma equal to degree or post-graduate degree,464.0,401.0,63.0,237.0,214.0,23.0,37.0,30.0,7.0,22.0,19.0,3.0,190.0,157.0,33.0,91.0,74.0,17.0
40,CHATRA,Urban,Total,62954.0,33724.0,29230.0,14438.0,12705.0,1733.0,3216.0,2485.0,731.0,1538.0,1233.0,305.0,45300.0,18534.0,26766.0,4445.0,2230.0,2215.0
41,CHATRA,Urban,Illiterate,19490.0,8567.0,10923.0,2709.0,1896.0,813.0,1192.0,731.0,461.0,570.0,370.0,200.0,15589.0,5940.0,9649.0,549.0,113.0,436.0
42,CHATRA,Urban,Literate,43464.0,25157.0,18307.0,11729.0,10809.0,920.0,2024.0,1754.0,270.0,968.0,863.0,105.0,29711.0,12594.0,17117.0,3896.0,2117.0,1779.0
43,CHATRA,Urban,Literate but below matric/secondary,21878.0,11563.0,10315.0,3729.0,3376.0,353.0,851.0,732.0,119.0,380.0,340.0,40.0,17298.0,7455.0,9843.0,954.0,450.0,504.0
44,CHATRA,Urban,Matric/secondary but below graduate,12499.0,7366.0,5133.0,3612.0,3384.0,228.0,571.0,513.0,58.0,281.0,253.0,28.0,8316.0,3469.0,4847.0,1810.0,982.0,828.0
45,CHATRA,Urban,Technical diploma or certificate not equal to degree,142.0,129.0,13.0,58.0,56.0,2.0,3.0,3.0,0.0,2.0,2.0,0.0,81.0,70.0,11.0,38.0,36.0,2.0
46,CHATRA,Urban,Graduate and above other than technical degree,4930.0,3579.0,1351.0,2722.0,2511.0,211.0,270.0,236.0,34.0,141.0,123.0,18.0,1938.0,832.0,1106.0,749.0,451.0,298.0
47,CHATRA,Urban,Technical degree or diploma equal to degree or post-graduate degree,283.0,234.0,49.0,146.0,131.0,15.0,8.0,8.0,0.0,4.0,4.0,0.0,129.0,95.0,34.0,57.0,45.0,12.0
48,KODARMA,Total,Total,716259.0,367222.0,349037.0,143324.0,117881.0,25443.0,114094.0,56112.0,57982.0,46137.0,30566.0,15571.0,458841.0,193229.0,265612.0,19714.0,9554.0,10160.0
49,KODARMA,Total,Illiterate,326010.0,128442.0,197568.0,46758.0,29640.0,17118.0,53691.0,15874.0,37817.0,19214.0,8768.0,10446.0,225561.0,82928.0,142633.0,5263.0,881.0,4382.0
50,KODARMA,Total,Literate,390249.0,238780.0,151469.0,96566.0,88241.0,8325.0,60403.0,40238.0,20165.0,26923.0,21798.0,5125.0,233280.0,110301.0,122979.0,14451.0,8673.0,5778.0
51,KODARMA,Total,Literate but below matric/secondary,272555.0,158372.0,114183.0,53482.0,48778.0,4704.0,40763.0,25872.0,14891.0,17462.0,13801.0,3661.0,178310.0,83722.0,94588.0,6491.0,3338.0,3153.0
52,KODARMA,Total,Matric/secondary but below graduate,68631.0,47501.0,21130.0,22163.0,20512.0,1651.0,11139.0,8444.0,2695.0,5508.0,4749.0,759.0,35329.0,18545.0,16784.0,5045.0,3500.0,1545.0
53,KODARMA,Total,Technical diploma or certificate not equal to degree,478.0,414.0,64.0,171.0,145.0,26.0,27.0,23.0,4.0,11.0,11.0,0.0,280.0,246.0,34.0,68.0,61.0,7.0
54,KODARMA,Total,Graduate and above other than technical degree,17024.0,13082.0,3942.0,9676.0,8868.0,808.0,1462.0,1272.0,190.0,766.0,705.0,61.0,5886.0,2942.0,2944.0,1481.0,1014.0,467.0
55,KODARMA,Total,Technical degree or diploma equal to degree or post-graduate degree,1181.0,932.0,249.0,612.0,518.0,94.0,64.0,52.0,12.0,18.0,14.0,4.0,505.0,362.0,143.0,170.0,130.0,40.0
56,KODARMA,Rural,Total,575013.0,293595.0,281418.0,112536.0,89403.0,23133.0,105790.0,50579.0,55211.0,43266.0,28046.0,15220.0,356687.0,153613.0,203074.0,15087.0,6891.0,8196.0
57,KODARMA,Rural,Illiterate,278866.0,109084.0,169782.0,41821.0,25583.0,16238.0,50874.0,14556.0,36318.0,18377.0,8153.0,10224.0,186171.0,68945.0,117226.0,4661.0,717.0,3944.0
58,KODARMA,Rural,Literate,296147.0,184511.0,111636.0,70715.0,63820.0,6895.0,54916.0,36023.0,18893.0,24889.0,19893.0,4996.0,170516.0,84668.0,85848.0,10426.0,6174.0,4252.0
59,KODARMA,Rural,Literate but below matric/secondary,222074.0,130937.0,91137.0,44053.0,39708.0,4345.0,37908.0,23730.0,14178.0,16389.0,12797.0,3592.0,140113.0,67499.0,72614.0,5417.0,2721.0,2696.0
60,KODARMA,Rural,Matric/secondary but below graduate,46096.0,34121.0,11975.0,15403.0,14101.0,1302.0,9865.0,7430.0,2435.0,5003.0,4267.0,736.0,20828.0,12590.0,8238.0,3492.0,2463.0,1029.0
61,KODARMA,Rural,Technical diploma or certificate not equal to degree,151.0,134.0,17.0,47.0,34.0,13.0,17.0,16.0,1.0,8.0,8.0,0.0,87.0,84.0,3.0,31.0,30.0,1.0
62,KODARMA,Rural,Graduate and above other than technical degree,7493.0,6360.0,1133.0,4412.0,4013.0,399.0,1076.0,948.0,128.0,614.0,567.0,47.0,2005.0,1399.0,606.0,625.0,506.0,119.0
63,KODARMA,Rural,Technical degree or diploma equal to degree or post-graduate degree,403.0,333.0,70.0,202.0,168.0,34.0,37.0,32.0,5.0,14.0,11.0,3.0,164.0,133.0,31.0,78.0,67.0,11.0
64,KODARMA,Urban,Total,141246.0,73627.0,67619.0,30788.0,28478.0,2310.0,8304.0,5533.0,2771.0,2871.0,2520.0,351.0,102154.0,39616.0,62538.0,4627.0,2663.0,1964.0
65,KODARMA,Urban,Illiterate,47144.0,19358.0,27786.0,4937.0,4057.0,880.0,2817.0,1318.0,1499.0,837.0,615.0,222.0,39390.0,13983.0,25407.0,602.0,164.0,438.0
66,KODARMA,Urban,Literate,94102.0,54269.0,39833.0,25851.0,24421.0,1430.0,5487.0,4215.0,1272.0,2034.0,1905.0,129.0,62764.0,25633.0,37131.0,4025.0,2499.0,1526.0
67,KODARMA,Urban,Literate but below matric/secondary,50481.0,27435.0,23046.0,9429.0,9070.0,359.0,2855.0,2142.0,713.0,1073.0,1004.0,69.0,38197.0,16223.0,21974.0,1074.0,617.0,457.0
68,KODARMA,Urban,Matric/secondary but below graduate,22535.0,13380.0,9155.0,6760.0,6411.0,349.0,1274.0,1014.0,260.0,505.0,482.0,23.0,14501.0,5955.0,8546.0,1553.0,1037.0,516.0
69,KODARMA,Urban,Technical diploma or certificate not equal to degree,327.0,280.0,47.0,124.0,111.0,13.0,10.0,7.0,3.0,3.0,3.0,0.0,193.0,162.0,31.0,37.0,31.0,6.0
70,KODARMA,Urban,Graduate and above other than technical degree,9531.0,6722.0,2809.0,5264.0,4855.0,409.0,386.0,324.0,62.0,152.0,138.0,14.0,3881.0,1543.0,2338.0,856.0,508.0,348.0
71,KODARMA,Urban,Technical degree or diploma equal to degree or post-graduate degree,778.0,599.0,179.0,410.0,350.0,60.0,27.0,20.0,7.0,4.0,3.0,1.0,341.0,229.0,112.0,92.0,63.0,29.0
72,GIRIDIH,Total,Total,2445474.0,1258098.0,1187376.0,412912.0,327651.0,85261.0,623365.0,296295.0,327070.0,293263.0,193658.0,99605.0,1409197.0,634152.0,775045.0,70456.0,32245.0,38211.0
73,GIRIDIH,Total,Illiterate,1191999.0,474362.0,717637.0,143842.0,87826.0,56016.0,324539.0,95504.0,229035.0,134623.0,62529.0,72094.0,723618.0,291032.0,432586.0,22683.0,3959.0,18724.0
74,GIRIDIH,Total,Literate,1253475.0,783736.0,469739.0,269070.0,239825.0,29245.0,298826.0,200791.0,98035.0,158640.0,131129.0,27511.0,685579.0,343120.0,342459.0,47773.0,28286.0,19487.0
75,GIRIDIH,Total,Literate but below matric/secondary,976350.0,585221.0,391129.0,171764.0,152915.0,18849.0,234223.0,153149.0,81074.0,121095.0,99205.0,21890.0,570363.0,279157.0,291206.0,24875.0,12847.0,12028.0
76,GIRIDIH,Total,Matric/secondary but below graduate,194745.0,139002.0,55743.0,59645.0,53649.0,5996.0,46312.0,34975.0,11337.0,27200.0,23399.0,3801.0,88788.0,50378.0,38410.0,16291.0,11050.0,5241.0
77,GIRIDIH,Total,Technical diploma or certificate not equal to degree,1038.0,900.0,138.0,361.0,330.0,31.0,69.0,61.0,8.0,37.0,33.0,4.0,608.0,509.0,99.0,205.0,178.0,27.0
78,GIRIDIH,Total,Graduate and above other than technical degree,46423.0,36619.0,9804.0,25341.0,23115.0,2226.0,6284.0,5381.0,903.0,4174.0,3770.0,404.0,14798.0,8123.0,6675.0,4938.0,3319.0,1619.0
79,GIRIDIH,Total,Technical degree or diploma equal to degree or post-graduate degree,3435.0,2829.0,606.0,1728.0,1522.0,206.0,273.0,226.0,47.0,181.0,160.0,21.0,1434.0,1081.0,353.0,592.0,455.0,137.0
80,GIRIDIH,Rural,Total,2237450.0,1149608.0,1087842.0,365031.0,284213.0,80818.0,611505.0,288422.0,323083.0,286628.0,188186.0,98442.0,1260914.0,576973.0,683941.0,59112.0,27000.0,32112.0
81,GIRIDIH,Rural,Illiterate,1123937.0,444508.0,679429.0,135428.0,80840.0,54588.0,320291.0,93335.0,226956.0,132477.0,60994.0,71483.0,668218.0,270333.0,397885.0,20897.0,3597.0,17300.0
82,GIRIDIH,Rural,Literate,1113513.0,705100.0,408413.0,229603.0,203373.0,26230.0,291214.0,195087.0,96127.0,154151.0,127192.0,26959.0,592696.0,306640.0,286056.0,38215.0,23403.0,14812.0
83,GIRIDIH,Rural,Literate but below matric/secondary,896610.0,543141.0,353469.0,155668.0,137799.0,17869.0,229162.0,149415.0,79747.0,118179.0,96608.0,21571.0,511780.0,255927.0,255853.0,21922.0,11560.0,10362.0
84,GIRIDIH,Rural,Matric/secondary but below graduate,156440.0,117215.0,39225.0,47427.0,42310.0,5117.0,44580.0,33684.0,10896.0,26163.0,22527.0,3636.0,64433.0,41221.0,23212.0,12596.0,9111.0,3485.0
85,GIRIDIH,Rural,Technical diploma or certificate not equal to degree,583.0,514.0,69.0,182.0,162.0,20.0,57.0,50.0,7.0,32.0,28.0,4.0,344.0,302.0,42.0,116.0,102.0,14.0
86,GIRIDIH,Rural,Graduate and above other than technical degree,28604.0,24618.0,3986.0,15826.0,14567.0,1259.0,5716.0,4905.0,811.0,3786.0,3432.0,354.0,7062.0,5146.0,1916.0,2555.0,2031.0,524.0
87,GIRIDIH,Rural,Technical degree or diploma equal to degree or post-graduate degree,1764.0,1538.0,226.0,858.0,778.0,80.0,242.0,198.0,44.0,163.0,144.0,19.0,664.0,562.0,102.0,256.0,219.0,37.0
88,GIRIDIH,Urban,Total,208024.0,108490.0,99534.0,47881.0,43438.0,4443.0,11860.0,7873.0,3987.0,6635.0,5472.0,1163.0,148283.0,57179.0,91104.0,11344.0,5245.0,6099.0
89,GIRIDIH,Urban,Illiterate,68062.0,29854.0,38208.0,8414.0,6986.0,1428.0,4248.0,2169.0,2079.0,2146.0,1535.0,611.0,55400.0,20699.0,34701.0,1786.0,362.0,1424.0
90,GIRIDIH,Urban,Literate,139962.0,78636.0,61326.0,39467.0,36452.0,3015.0,7612.0,5704.0,1908.0,4489.0,3937.0,552.0,92883.0,36480.0,56403.0,9558.0,4883.0,4675.0
91,GIRIDIH,Urban,Literate but below matric/secondary,79740.0,42080.0,37660.0,16096.0,15116.0,980.0,5061.0,3734.0,1327.0,2916.0,2597.0,319.0,58583.0,23230.0,35353.0,2953.0,1287.0,1666.0
92,GIRIDIH,Urban,Matric/secondary but below graduate,38305.0,21787.0,16518.0,12218.0,11339.0,879.0,1732.0,1291.0,441.0,1037.0,872.0,165.0,24355.0,9157.0,15198.0,3695.0,1939.0,1756.0
93,GIRIDIH,Urban,Technical diploma or certificate not equal to degree,455.0,386.0,69.0,179.0,168.0,11.0,12.0,11.0,1.0,5.0,5.0,0.0,264.0,207.0,57.0,89.0,76.0,13.0
94,GIRIDIH,Urban,Graduate and above other than technical degree,17819.0,12001.0,5818.0,9515.0,8548.0,967.0,568.0,476.0,92.0,388.0,338.0,50.0,7736.0,2977.0,4759.0,2383.0,1288.0,1095.0
95,GIRIDIH,Urban,Technical degree or diploma equal to degree or post-graduate degree,1671.0,1291.0,380.0,870.0,744.0,126.0,31.0,28.0,3.0,18.0,16.0,2.0,770.0,519.0,251.0,336.0,236.0,100.0
96,DEOGHAR,Total,Total,1492073.0,775022.0,717051.0,297146.0,238224.0,58922.0,254321.0,145467.0,108854.0,139661.0,98064.0,41597.0,940606.0,391331.0,549275.0,53057.0,23331.0,29726.0
97,DEOGHAR,Total,Illiterate,698535.0,285185.0,413350.0,101591.0,64178.0,37413.0,128998.0,50236.0,78762.0,64198.0,33693.0,30505.0,467946.0,170771.0,297175.0,15567.0,2352.0,13215.0
98,DEOGHAR,Total,Literate,793538.0,489837.0,303701.0,195555.0,174046.0,21509.0,125323.0,95231.0,30092.0,75463.0,64371.0,11092.0,472660.0,220560.0,252100.0,37490.0,20979.0,16511.0
99,DEOGHAR,Total,Literate but below matric/secondary,590395.0,351006.0,239389.0,118957.0,105606.0,13351.0,100064.0,75049.0,25015.0,60015.0,50976.0,9039.0,371374.0,170351.0,201023.0,16258.0,7470.0,8788.0
100,DEOGHAR,Total,Matric/secondary but below graduate,134062.0,90558.0,43504.0,43238.0,38977.0,4261.0,16533.0,13895.0,2638.0,10376.0,9273.0,1103.0,74291.0,37686.0,36605.0,14270.0,9093.0,5177.0
101,DEOGHAR,Total,Technical diploma or certificate not equal to degree,1115.0,969.0,146.0,493.0,449.0,44.0,27.0,26.0,1.0,20.0,19.0,1.0,595.0,494.0,101.0,208.0,172.0,36.0
102,DEOGHAR,Total,Graduate and above other than technical degree,42412.0,31932.0,10480.0,23872.0,21560.0,2312.0,2405.0,2154.0,251.0,1565.0,1422.0,143.0,16135.0,8218.0,7917.0,5341.0,3466.0,1875.0
103,DEOGHAR,Total,Technical degree or diploma equal to degree or post-graduate degree,3484.0,2760.0,724.0,1951.0,1680.0,271.0,78.0,64.0,14.0,55.0,46.0,9.0,1455.0,1016.0,439.0,616.0,446.0,170.0
104,DEOGHAR,Rural,Total,1233712.0,638136.0,595576.0,231862.0,180361.0,51501.0,246260.0,139804.0,106456.0,135391.0,94693.0,40698.0,755590.0,317971.0,437619.0,36755.0,14653.0,22102.0
105,DEOGHAR,Rural,Illiterate,628820.0,255264.0,373556.0,92321.0,57247.0,35074.0,126667.0,49074.0,77593.0,63167.0,33053.0,30114.0,409832.0,148943.0,260889.0,14096.0,1977.0,12119.0
106,DEOGHAR,Rural,Literate,604892.0,382872.0,222020.0,139541.0,123114.0,16427.0,119593.0,90730.0,28863.0,72224.0,61640.0,10584.0,345758.0,169028.0,176730.0,22659.0,12676.0,9983.0
107,DEOGHAR,Rural,Literate but below matric/secondary,493118.0,300410.0,192708.0,98863.0,87037.0,11826.0,96815.0,72508.0,24307.0,58222.0,49417.0,8805.0,297440.0,140865.0,156575.0,12896.0,5852.0,7044.0
108,DEOGHAR,Rural,Matric/secondary but below graduate,78466.0,59010.0,19456.0,26412.0,23598.0,2814.0,15044.0,12716.0,2328.0,9503.0,8560.0,943.0,37010.0,22696.0,14314.0,7410.0,5210.0,2200.0
109,DEOGHAR,Rural,Technical diploma or certificate not equal to degree,251.0,221.0,30.0,108.0,97.0,11.0,18.0,18.0,0.0,14.0,14.0,0.0,125.0,106.0,19.0,49.0,44.0,5.0
110,DEOGHAR,Rural,Graduate and above other than technical degree,13721.0,11826.0,1895.0,7985.0,7389.0,596.0,1723.0,1591.0,132.0,1157.0,1094.0,63.0,4013.0,2846.0,1167.0,1549.0,1207.0,342.0
111,DEOGHAR,Rural,Technical degree or diploma equal to degree or post-graduate degree,729.0,637.0,92.0,356.0,328.0,28.0,38.0,35.0,3.0,30.0,29.0,1.0,335.0,274.0,61.0,144.0,123.0,21.0
112,DEOGHAR,Urban,Total,258361.0,136886.0,121475.0,65284.0,57863.0,7421.0,8061.0,5663.0,2398.0,4270.0,3371.0,899.0,185016.0,73360.0,111656.0,16302.0,8678.0,7624.0
113,DEOGHAR,Urban,Illiterate,69715.0,29921.0,39794.0,9270.0,6931.0,2339.0,2331.0,1162.0,1169.0,1031.0,640.0,391.0,58114.0,21828.0,36286.0,1471.0,375.0,1096.0
114,DEOGHAR,Urban,Literate,188646.0,106965.0,81681.0,56014.0,50932.0,5082.0,5730.0,4501.0,1229.0,3239.0,2731.0,508.0,126902.0,51532.0,75370.0,14831.0,8303.0,6528.0
115,DEOGHAR,Urban,Literate but below matric/secondary,97277.0,50596.0,46681.0,20094.0,18569.0,1525.0,3249.0,2541.0,708.0,1793.0,1559.0,234.0,73934.0,29486.0,44448.0,3362.0,1618.0,1744.0
116,DEOGHAR,Urban,Matric/secondary but below graduate,55596.0,31548.0,24048.0,16826.0,15379.0,1447.0,1489.0,1179.0,310.0,873.0,713.0,160.0,37281.0,14990.0,22291.0,6860.0,3883.0,2977.0
117,DEOGHAR,Urban,Technical diploma or certificate not equal to degree,864.0,748.0,116.0,385.0,352.0,33.0,9.0,8.0,1.0,6.0,5.0,1.0,470.0,388.0,82.0,159.0,128.0,31.0
118,DEOGHAR,Urban,Graduate and above other than technical degree,28691.0,20106.0,8585.0,15887.0,14171.0,1716.0,682.0,563.0,119.0,408.0,328.0,80.0,12122.0,5372.0,6750.0,3792.0,2259.0,1533.0
119,DEOGHAR,Urban,Technical degree or diploma equal to degree or post-graduate degree,2755.0,2123.0,632.0,1595.0,1352.0,243.0,40.0,29.0,11.0,25.0,17.0,8.0,1120.0,742.0,378.0,472.0,323.0,149.0
120,GODDA,Total,Total,1313551.0,677927.0,635624.0,235735.0,182438.0,53297.0,316456.0,161581.0,154875.0,189330.0,117550.0,71780.0,761360.0,333908.0,427452.0,49448.0,19368.0,30080.0
121,GODDA,Total,Illiterate,709032.0,301715.0,407317.0,101317.0,65114.0,36203.0,193065.0,74500.0,118565.0,110793.0,54827.0,55966.0,414650.0,162101.0,252549.0,17295.0,2687.0,14608.0
122,GODDA,Total,Literate,604519.0,376212.0,228307.0,134418.0,117324.0,17094.0,123391.0,87081.0,36310.0,78537.0,62723.0,15814.0,346710.0,171807.0,174903.0,32153.0,16681.0,15472.0
123,GODDA,Total,Literate but below matric/secondary,440067.0,260921.0,179146.0,76960.0,66689.0,10271.0,88918.0,60857.0,28061.0,55560.0,43655.0,11905.0,274189.0,133375.0,140814.0,13611.0,5756.0,7855.0
124,GODDA,Total,Matric/secondary but below graduate,115678.0,80224.0,35454.0,36693.0,32476.0,4217.0,24192.0,18993.0,5199.0,16391.0,13885.0,2506.0,54793.0,28755.0,26038.0,13495.0,7805.0,5690.0
125,GODDA,Total,Technical diploma or certificate not equal to degree,897.0,782.0,115.0,371.0,332.0,39.0,80.0,74.0,6.0,56.0,54.0,2.0,446.0,376.0,70.0,185.0,155.0,30.0
126,GODDA,Total,Graduate and above other than technical degree,25735.0,20167.0,5568.0,13648.0,12241.0,1407.0,3220.0,2741.0,479.0,2230.0,1988.0,242.0,8867.0,5185.0,3682.0,3517.0,2219.0,1298.0
127,GODDA,Total,Technical degree or diploma equal to degree or post-graduate degree,2179.0,1763.0,416.0,1036.0,884.0,152.0,144.0,115.0,29.0,99.0,84.0,15.0,999.0,764.0,235.0,492.0,374.0,118.0
